Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-15,20:00 (23:30),La Liga,Matchweek 1,Sun,Home,W,4.0,2.0,Real Sociedad,3.1,1.1,62.0,20384.0,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
2022-01-05,19:30 (00:00),Copa del Rey,Round of 32,Wed,Away,W,2.0,1.0,Linares,,,81.0,10000.0,Sergio Busquets,3-1-4-2,Guillermo Cuadra,Match Report,
2022-01-02,21:00 (01:30),La Liga,Matchweek 19,Sun,Away,W,1.0,0.0,Mallorca,1.5,0.9,64.0,14654.0,Gerard Piqué,4-3-3,Antonio Matéu Lahoz,Match Report,
2022-02-20,16:15 (20:45),La Liga,Matchweek 25,Sun,Away,W,4.0,1.0,Valencia,1.8,0.9,64.0,38315.0,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2021-12-18,18:30 (23:00),La Liga,Matchweek 18,Sat,Home,W,3.0,2.0,Elche,3.0,1.2,72.0,41664.0,Sergio Busquets,3-4-3◆,Alberola Rojas,Match Report,
2022-02-24,21:00 (01:30),Europa Lg,Knockout round play-offs,Thu,Away,W,4.0,2.0,it Napoli,1.9,1.3,56.0,37858.0,Sergio Busquets,4-3-3,Sergey Karasev,Match Report,Leg 2 of 2; Barcelona won
2022-02-27,21:00 (01:30),La Liga,Matchweek 26,Sun,Home,W,4.0,0.0,Athletic Club,3.0,0.5,71.0,69770.0,Sergio Busquets,4-3-3,Guillermo Cuadra,Match Report,
2022-03-06,16:15 (20:45),La Liga,Matchweek 27,Sun,Away,W,2.0,1.0,Elche,4.0,1.2,67.0,30146.0,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
2021-11-27,21:00 (01:30),La Liga,Matchweek 15,Sat,Away,W,3.0,1.0,Villarreal,3.4,1.3,50.0,19050.0,Sergio Busquets,4-3-3,César Soto,Match Report,
2021-11-20,21:00 (01:30),La Liga,Matchweek 14,Sat,Home,W,1.0,0.0,Espanyol,1.7,1.3,65.0,74418.0,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
